3442500, 947, -9169, -2642, 2391, -2393, -2848, -1535, 45227
3446300, 892, -9169, -2642, 2391, -2393, -2848, -1535, 45264
3450500, 957, -9160, -2663, 2343, -5070, -2883, -2043, 45264
3454300, 932, -9160, -2663, 2343, -5070, -2883, -2043, 45268
3458600, 978, -9112, -2721, 2343, -5070, -2883, -2043, 45268
3462300, 905, -9112, -2721, 2343, -5070, -2883, -2043, 45272
3466100, 893, -9112, -2721, 2343, -5070, -2883, -2043, 45291
3470400, 953, -9058, -2834, 2248, -3163, -1246, -1303, 45291
3474200, 884, -9058, -2834, 2248, -3163, -1246, -1303, 45269
3478500, 970, -9077, -2834, 2248, -3163, -1246, -1303, 45269
3482300, 885, -9077, -2834, 2248, -3163, -1246, -1303, 45273
3486100, 858, -9077, -2834, 2248, -3163, -1246, -1303, 45264
3490400, 991, -9181, -2770, 2251, 564, -1067, -629, 45264
3494200, 952, -9181, -2770, 2251, 564, -1067, -629, 45259
3498500, 980, -9181, -2770, 2251, 564, -1067, -629, 45259
3502200, 935, -9181, -2770, 2251, 564, -1067, -629, 45256
3507900, 964, -9203, -2689, 2261, 1933, -1264, -651, 45265
3511700, 888, -9203, -2689, 2261, 1933, -1264, -651, 45232
3514000, 23, -9203, -2689, 2261, 1933, -1264, -651, 45232
3519700, 935, -9193, -2617, 2248, 2436, -831, -196, 45252
3522000, 20, -9193, -2617, 2248, 2436, -831, -196, 45252
3527700, 945, -9174, -2573, 2206, 1841, -188, 463, 45253
3531500, 891, -9174, -2573, 2206, 1841, -188, 463, 45251
3535800, 961, -9174, -2563, 2214, 682, -345, 853, 45251
3539600, 931, -9174, -2563, 2214, 682, -345, 853, 45252
3541800, 19, -9174, -2563, 2214, 682, -345, 853, 45252
3546100, 965, -9138, -2600, 2302, -415, -818, 419, 45252
3549900, 936, -9138, -2600, 2302, -415, -818, 419, 45245
3552200, 18, -9138, -2600, 2302, -415, -818, 419, 45245
3557900, 959, -9200, -2642, 2364, -1588, -1001, -293, 45222
3561600, 897, -9200, -2642, 2364, -1588, -1001, -293, 45254
3565900, 985, -9192, -2787, 2308, -2454, -909, -966, 45254
3569700, 940, -9192, -2787, 2308, -2454, -909, -966, 45251
3571900, 19, -9192, -2787, 2308, -2454, -909, -966, 45251
3576200, 978, -9182, -2797, 2341, -2546, -717, -923, 45251
3580000, 956, -9182, -2797, 2341, -2546, -717, -923, 45247
3584200, 1003, -9196, -2862, 2358, -1789, -699, -393, 45247
3588000, 953, -9196, -2862, 2358, -1789, -699, -393, 45304
3591800, 902, -9196, -2862, 2358, -1789, -699, -393, 45300
3596000, 1009, -9119, -2863, 2329, -498, -818, -8, 45300
3599800, 914, -9119, -2863, 2329, -498, -818, -8, 45268
3604100, 994, -9147, -2812, 2358, 831, -861, 83, 45268
3607800, 929, -9147, -2812, 2358, 831, -861, 83, 45297
3611600, 898, -9147, -2812, 2358, 831, -861, 83, 45310
3615900, 980, -9157, -2727, 2368, 1343, -870, -4, 45310
3619700, 949, -9157, -2727, 2368, 1343, -870, -4, 45305
3623900, 1014, -9154, -2665, 2350, 1115, -857, -126, 45305
3627700, 923, -9154, -2665, 2350, 1115, -857, -126, 45333
3631500, 897, -9154, -2665, 2350, 1115, -857, -126, 45300
3635700, 969, -9174, -2630, 2315, 656, -643, -231, 45300
3639500, 946, -9174, -2630, 2315, 656, -643, -231, 45297
3643700, 1002, -9149, -2649, 2261, 118, -301, -236, 45297
3647400, 895, -9149, -2649, 2261, 118, -301, -236, 45300
3651200, 920, -9149, -2649, 2261, 118, -301, -236, 45312
3655500, 968, -9100, -2663, 2257, -306, -170, -524, 45312
3659300, 948, -9100, -2663, 2257, -306, -170, -524, 45294
3663500, 1030, -9158, -2704, 2276, -590, -74, -726, 45294
3667200, 952, -9158, -2704, 2276, -590, -74, -726, 45297
3672900, 975, -9187, -2754, 2296, -511, -266, -874, 45263
3676700, 870, -9187, -2754, 2296, -511, -266, -874, 45283
3679000, 20, -9187, -2754, 2296, -511, -266, -874, 45283
3684700, 952, -9190, -2739, 2344, -275, -446, -879, 45284
