timestamp, 1064, -1294, -9902, 562, 227, 437, -1356, 46105
3066.6, 24, -1294, -9902, 562, 227, 437, -1356, 46105
3070.9, 1063, -1414, -9808, 626, 468, 2922, -1128, 46105
3074.6, 1040, -1414, -9808, 626, 468, 2922, -1128, 46097
3076.9, 24, -1414, -9808, 626, 468, 2922, -1128, 46097
3082.7, 1118, -1509, -9788, 683, 857, 4453, -586, 46075
3086.6, 1059, -1509, -9788, 683, 857, 4453, -586, 46091
3090.8, 1049, -1582, -9814, 733, 735, 5044, 245, 46091
3094.6, 1029, -1582, -9814, 733, 735, 5044, 245, 46085
3098.8, 1036, -1581, -9909, 719, 686, 5114, 516, 46085
3102.6, 1049, -1581, -9909, 719, 686, 5114, 516, 46088
3106.3, 1048, -1581, -9909, 719, 686, 5114, 516, 46040
3110.6, 1045, -1557, -9934, 696, 936, 5140, 144, 46040
3114.4, 1030, -1557, -9934, 696, 936, 5140, 144, 46089
3118.6, 1059, -1538, -9872, 707, 1281, 5328, -78, 46089
3122.4, 1024, -1538, -9872, 707, 1281, 5328, -78, 46086
3126.1, 1044, -1538, -9872, 707, 1281, 5328, -78, 46086
3130.4, 1087, -1511, -9786, 651, 944, 4965, -104, 46086
3134.2, 1036, -1511, -9786, 651, 944, 4965, -104, 46054
3138.4, 1054, -1497, -9732, 744, 888, 4865, -363, 46054
3142.1, 1037, -1497, -9732, 744, 888, 4865, -363, 46089
3145.9, 1060, -1497, -9732, 744, 888, 4865, -363, 46078
3150.2, 1046, -1440, -9711, 921, 1421, 4248, -538, 46078
3154.0, 1044, -1440, -9711, 921, 1421, 4248, -538, 46075
3158.2, 1044, -1439, -9760, 787, 1023, 3036, 122, 46075
3161.9, 993, -1439, -9760, 787, 1023, 3036, 122, 46056
3165.7, 1065, -1439, -9760, 787, 1023, 3036, 122, 46072
3170.0, 1054, -1485, -9923, 707, 918, 3027, 1093, 46072
3173.7, 1058, -1485, -9923, 707, 918, 3027, 1093, 46087
3177.9, 1089, -1496, -10036, 752, 1084, 3832, 1163, 46087
3181.6, 1028, -1496, -10036, 752, 1084, 3832, 1163, 46086
3183.9, 25, -1496, -10036, 752, 1084, 3832, 1163, 46086
3189.6, 1139, -1489, -9972, 768, 835, 4121, 437, 46103
3191.9, 27, -1489, -9972, 768, 835, 4121, 437, 46103
3197.6, 1126, -1567, -9793, 604, 328, 4230, -113, 46082
3201.4, 1013, -1567, -9793, 604, 328, 4230, -113, 46071
3205.6, 1084, -1655, -9649, 625, 21, 4471, -74, 46071
3209.4, 1052, -1655, -9649, 625, 21, 4471, -74, 46078
3211.7, 26, -1655, -9649, 625, 21, 4471, -74, 46078
3215.9, 1046, -1712, -9634, 751, -459, 3740, 686, 46078
3219.7, 1030, -1712, -9634, 751, -459, 3740, 686, 46078
3222.0, 24, -1712, -9634, 751, -459, 3740, 686, 46078
3227.7, 1156, -1710, -9795, 843, -1080, 1255, 1483, 46079
3231.4, 1046, -1710, -9795, 843, -1080, 1255, 1483, 46075
3235.7, 1061, -1714, -10007, 747, -1316, -1063, 1955, 46075
3239.5, 1006, -1714, -10007, 747, -1316, -1063, 1955, 46098
3241.7, 24, -1714, -10007, 747, -1316, -1063, 1955, 46098
3246.0, 1065, -1645, -10150, 744, -691, -2143, 1356, 46098
3249.7, 1033, -1645, -10150, 744, -691, -2143, 1356, 46088
3254.0, 1088, -1606, -10108, 649, -214, -2791, -218, 46088
3257.7, 1048, -1606, -10108, 649, -214, -2791, -218, 46110
3261.4, 1039, -1606, -10108, 649, -214, -2791, -218, 46080
3265.7, 1061, -1546, -9942, 659, 332, -3381, -1430, 46080
3269.5, 1072, -1546, -9942, 659, 332, -3381, -1430, 46080
3273.7, 1043, -1495, -9763, 627, -43, -3793, -1793, 46080
3277.5, 1035, -1495, -9763, 627, -43, -3793, -1793, 46084
3281.3, 1042, -1495, -9763, 627, -43, -3793, -1793, 46108
3285.6, 1050, -1488, -9696, 714, -542, -3648, -1268, 46108
3289.3, 1071, -1488, -9696, 714, -542, -3648, -1268, 46075
3293.5, 1055, -1436, -9721, 684, -1273, -3333, 48, 46075
3297.3, 1029, -1436, -9721, 684, -1273, -3333, 48, 46092
3301.0, 1058, -1436, -9721, 684, -1273, -3333, 48, 46087
3305.3, 1059, -1521, -9824, 683, -1758, -2603, 1154, 46087
3309.1, 1038, -1521, -9824, 683, -1758, -2603, 1154, 46075
3313.3, 1057, -1456, -9893, 714, -1881, -1745, 1084, 46075
3317.0, 1019, -1456, -9893, 714, -1881, -1745, 1084, 46081
3320.8, 1053, -1456, -9893, 714, -1881, -1745, 1084, 46108
3325.1, 1062, -1387, -9992, 751, -1553, -1456, 546, 46108
3328.8, 1041, -1387, -9992, 751, -1553, -1456, 546, 46089
3333.1, 1048, -1350, -10021, 708, -1159, -1474, 284, 46089
3336.8, 1000, -1350, -10021, 708, -1159, -1474, 284, 46088
3339.1, 24, -1350, -10021, 708, -1159, -1474, 284, 46088
3344.9, 1083, -1339, -9987, 611, -1312, -883, 363, 46086
3348.7, 1017, -1339, -9987, 611, -1312, -883, 363, 46060
3352.9, 1050, -1409, -9845, 658, -1850, 380, 446, 46060
3356.6, 992, -1409, -9845, 658, -1850, 380, 446, 46092
3360.9, 1074, -1409, -9845, 658, -2292, 1666, 245, 46092
3364.6, 1064, -1409, -9845, 658, -2292, 1666, 245, 46083
3366.9, 25, -1409, -9845, 658, -2292, 1666, 245, 46083
3371.1, 1040, -1474, -9733, 682, -2441, 2423, 669, 46083
3374.9, 1038, -1474, -9733, 682, -2441, 2423, 669, 46085
3377.2, 23, -1474, -9733, 682, -2441, 2423, 669, 46085
3382.9, 1135, -1466, -9782, 754, -2642, 3447, 1763, 46100
3386.6, 1011, -1466, -9782, 754, -2642, 3447, 1763, 46082
3390.9, 1043, -1466, -9782, 675, -2590, 4816, 3049, 46082
3394.6, 1061, -1466, -9782, 675, -2590, 4816, 3049, 46076
3396.9, 25, -1466, -9782, 675, -2590, 4816, 3049, 46076
3401.1, 1057, -1253, -10016, 625, -2651, 6641, 3408, 46076
3404.9, 1027, -1253, -10016, 625, -2651, 6641, 3408, 46089
3407.1, 25, -1253, -10016, 625, -2651, 6641, 3408, 46089
3412.9, 1108, -1207, -9913, 729, -2489, 7953, 2493, 46090
3416.6, 1043, -1207, -9913, 729, -2489, 7953, 2493, 46092
3420.9, 1062, -1349, -9818, 762, -2642, 8395, 1496, 46092
3424.6, 1081, -1349, -9818, 762, -2642, 8395, 1496, 46091
3428.8, 1061, -1349, -9818, 762, -2642, 8395, 1496, 46091
3432.6, 1033, -1349, -9818, 762, -2642, 8395, 1496, 46094
3436.3, 1039, -1349, -9818, 762, -2642, 8395, 1496, 46085
3440.6, 1027, -1827, -9802, 684, -2760, 6243, 1631, 46085
3444.4, 1037, -1827, -9802, 684, -2760, 6243, 1631, 46088
3448.6, 1033, -1827, -9802, 684, -2760, 6243, 1631, 46088
3452.3, 1054, -1827, -9802, 684, -2760, 6243, 1631, 46087
3456.1, 1047, -1827, -9802, 684, -2760, 6243, 1631, 46091
3460.4, 1040, -2124, -9939, 724, -4130, 2156, 2738, 46091
3464.2, 1041, -2124, -9939, 724, -4130, 2156, 2738, 46091
3468.4, 1035, -2124, -9939, 724, -4130, 2156, 2738, 46091
3472.1, 1027, -2124, -9939, 724, -4130, 2156, 2738, 46120
3475.9, 1048, -2124, -9939, 724, -4130, 2156, 2738, 46094
