3056100, 23, 2090, -9157, 548, -4895, 9940, 6365, 39578
3060300, 1063, 2045, -9076, 692, -4681, 11502, 7883, 39578
3064100, 1010, 2045, -9076, 692, -4681, 11502, 7883, 39578
3066300, 21, 2045, -9076, 692, -4681, 11502, 7883, 39578
3070600, 1072, 2014, -9086, 841, -3600, 11388, 9472, 39578
3074300, 1043, 2014, -9086, 841, -3600, 11388, 9472, 39601
3076600, 22, 2014, -9086, 841, -3600, 11388, 9472, 39601
3080800, 1076, 1996, -9216, 861, -2598, 8264, 9200, 39601
3084600, 1031, 1996, -9216, 861, -2598, 8264, 9200, 39578
3086800, 23, 1996, -9216, 861, -2598, 8264, 9200, 39578
3092600, 1113, 1721, -9458, 900, -2471, 6593, 7350, 39562
3096400, 1015, 1721, -9458, 900, -2471, 6593, 7350, 39573
3100600, 1068, 1682, -9689, 1352, -1574, 5928, 5403, 39573
3104300, 1056, 1682, -9689, 1352, -1574, 5928, 5403, 39564
3108500, 1066, 1755, -9891, 1592, -1968, 5468, 4221, 39564
3112300, 1043, 1755, -9891, 1592, -1968, 5468, 4221, 39581
3116000, 1040, 1755, -9891, 1592, -1968, 5468, 4221, 39608
3120300, 1080, 1732, -10137, 2228, -2891, 1999, 4248, 39608
3124000, 1041, 1732, -10137, 2228, -2891, 1999, 4248, 39563
3128200, 1087, 1767, -10441, 2385, -3771, -5884, 4143, 39563
3131900, 1000, 1767, -10441, 2385, -3771, -5884, 4143, 39572
3135700, 1014, 1767, -10441, 2385, -3771, -5884, 4143, 39582
3139900, 1070, 1697, -10694, 2093, -4388, -15286, 2415, 39582
3143600, 1079, 1697, -10694, 2093, -4388, -15286, 2415, 39581
3147800, 1052, 1630, -10486, 1226, -5779, -21674, -888, 39581
3151500, 1009, 1630, -10486, 1226, -5779, -21674, -888, 39568
3153800, 20, 1630, -10486, 1226, -5779, -21674, -888, 39568
3159500, 1120, 1752, -10370, 954, -6943, -23726, -4103, 39557
3163300, 1042, 1752, -10370, 954, -6943, -23726, -4103, 39544
3169000, 1089, 1700, -10227, 917, -7765, -24163, -6693, 39565
3172700, 1029, 1700, -10227, 917, -7765, -24163, -6693, 39598
3178400, 1074, 1912, -10064, 543, -7577, -24509, -7586, 39560
3182200, 1001, 1912, -10064, 543, -7577, -24509, -7586, 39530
3187900, 1078, 2066, -10106, 203, -6947, -24355, -6768, 39560
3191600, 1007, 2066, -10106, 203, -6947, -24355, -6768, 39559
3197400, 1110, 2126, -10184, -113, -4830, -22938, -5792, 39571
3201100, 965, 2126, -10184, -113, -4830, -22938, -5792, 39582
3203300, 22, 2126, -10184, -113, -4830, -22938, -5792, 39582
3209100, 1106, 2219, -10265, -531, -3023, -19451, -5578, 39576
3211300, 24, 2219, -10265, -531, -3023, -19451, -5578, 39576
3215500, 1045, 2353, -9937, -714, -2126, -12521, -5687, 39576
3219200, 1026, 2353, -9937, -714, -2126, -12521, -5687, 39566
3221500, 22, 2353, -9937, -714, -2126, -12521, -5687, 39566
3225700, 1089, 2294, -9653, -519, -1443, -5114, -5538, 39566
3229400, 1011, 2294, -9653, -519, -1443, -5114, -5538, 39574
3231700, 22, 2294, -9653, -519, -1443, -5114, -5538, 39574
3235900, 1089, 2183, -9505, -400, -625, 441, -4707, 39574
3239600, 1018, 2183, -9505, -400, -625, 441, -4707, 39589
3241900, 23, 2183, -9505, -400, -625, 441, -4707, 39589
